"","sampleid","Name.2","Community","Species","replicate","BreakingBag","parent","Location","Experiment","Part_Time0D_17","Part_Time0D_6","Part_Time4M_64","Part_Time7D_rep1_2","Part_Time7D_rep2_2","Part_Time7D_rep3_2","Part_Time7D_rep4_2","replicate.partition","partition","ExpCompact","exp.replicate.partition","exp.partition"
"264","BB20.2",NA,NA,NA,"Rep2",NA,"BB20","BurhamBeeches","7D_rep2",NA,NA,NA,NA,2,NA,NA,"Rep2.Class2","Class2","Final","Final.Rep2.Class2","Final.Class2"
"265","BB20.3",NA,NA,NA,"Rep3",NA,"BB20","BurhamBeeches","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"266","BB20.4",NA,NA,NA,"Rep4",NA,"BB20","BurhamBeeches","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"267","BB21.1",NA,NA,NA,"Rep1",NA,"BB21","BurhamBeeches","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"268","BB21.2",NA,NA,NA,"Rep2",NA,"BB21","BurhamBeeches","7D_rep2",NA,NA,NA,NA,2,NA,NA,"Rep2.Class2","Class2","Final","Final.Rep2.Class2","Final.Class2"
"269","BB21.3",NA,NA,NA,"Rep3",NA,"BB21","BurhamBeeches","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"270","BB21.4",NA,NA,NA,"Rep4",NA,"BB21","BurhamBeeches","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"271","BB22.1",NA,NA,NA,"Rep1",NA,"BB22","BurhamBeeches","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"272","BB22.2",NA,NA,NA,"Rep2",NA,"BB22","BurhamBeeches","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"273","BB22.3",NA,NA,NA,"Rep3",NA,"BB22","BurhamBeeches","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"274","BB22.4",NA,NA,NA,"Rep4",NA,"BB22","BurhamBeeches","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
