"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","functionInk","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","Set","shared name","Stress","TopologicalCoefficient"
"4.480376766091052","0.0","0.22319551506657323","0.0","1","7","121","false","ASV_733","9.0","0","1","0","0.9456191130298273","false","0","Starting-ASV","ASV_733","0","0.0"
"4.475667189952905","1.4272855668408617E-5","0.22343037530690985","0.0","2","7","94","false","ASV_706","7.5","0","2","0","0.9456927001569859","false","0","Starting-ASV","ASV_706","56","0.7222222222222222"
"3.609105180533752","0.00223865721191093","0.2770769899956503","0.3","5","7","94","false","ASV_605","8.8","0","5","0","0.9592327315541601","false","0","Starting-ASV","ASV_605","4688","0.27741935483870966"
"3.2778649921507066","0.005146925253665941","0.3050766283524904","0.0","5","6","9","false","ASV_451","18.0","0","5","0","0.9644083594976453","false","0","Final_ASV","ASV_451","9318","0.20481927710843373"
"3.4332810047095763","4.5870805806377606E-4","0.2912665752171925","0.0","3","6","87","false","ASV_672","20.0","0","3","0","0.9619799843014128","false","0","Final_ASV","ASV_672","1148","0.3584905660377358"
"3.709576138147567","0.0","0.26957257723233174","0.0","1","6","125","false","ASV_480","25.0","0","1","0","0.9576628728414442","false","0","Final_ASV","ASV_480","0","0.0"
"3.521193092621664","8.025120587863655E-5","0.2839946500222916","0.0","2","6","80","false","ASV_338","21.5","0","2","0","0.9606063579277865","false","0","Final_ASV","ASV_338","292","0.5256410256410257"
"4.430141287284145","2.778317446240696E-4","0.22572643515237417","0.3333333333333333","3","7","53","false","ASV_376","3.6666666666666665","0","3","0","0.9464040423861853","false","0","Starting-ASV","ASV_376","414","0.4166666666666667"
"3.8634222919937207","0.0","0.25883787078423404","0.0","1","7","179","false","ASV_854","19.0","0","1","0","0.9552590266875981","false","0","Final_ASV","ASV_854","0","0.0"
"3.8634222919937207","0.0","0.25883787078423404","0.0","1","7","179","false","ASV_555","19.0","0","1","0","0.9552590266875981","false","0","Starting-ASV","ASV_555","0","0.0"
